keywords,n
paris agreement,1
partial disclosure,1
participant-observer,1
participant–observer,1
participatory engagement,1
participatory methods,1
participatory sensing,1
particulars,1
partition principle,1
patchwriting,1
patent broadness,1
patent disclosure,1
patent protection,1
patenting,1
patenting humans: cloning for biomedical research,1
pathologists,1
patient-physician relationship,1
patient autonomy,1
patient photograph,1
patient’s information,1
patients’ rights,1
patricia werhane,1
pattern,1
pattern recognition,1
patterns of moral thinking at the abstract level,1
payment,1
pcu,1
peace studies,1
pedagogical strategies,1
pediatric hiv/aids clinical trials,1
peer-production of knowledge,1
peer-to-peer-learning,1
peer advising,1
peer evaluation — some pitfalls,1
peer grading,1
peer review process,1
peer review system,1
peer review thieves,1
peer status,1
penicillin,1
perceived reality,1
perceived security,1
perceived stress,1
perception,1
performance,1
permanent sovereignty,1
permissibility,1
persistent vegetative state,1
personal commitments,1
personal communications,1
personal effort,1
personal ethics,1
personal experiences,1
personal freedom,1
personal interest,1
personalised medicine,1
personalism,1
personalization,1
personalized education,1
perspectivism,1
persuasive definition,1
persuasive design,1
peru,1
pervasive,1
pervasive computing,1
pervasive technology,1
pesticides,1
petroleum engineering,1
pfb,1
pgd,1
pgm,1
ph.d. training,1
ph.d. workshop,1
pharmaceutical companies,1
pharmaceutical/medical fraud,1
pharmacists’ attitudes,1
pharmacists’ experience,1
pharmacogenomics,1
pharmacological trial,1
phase i–iii clinical trials,1
philosophical reflection,1
philosophically interesting,1
philosophy department,1
philosophy of biology,1
philosophy of economics,1
philosophy of engineering,1
philosophy of medicine,1
philosophy of mind,1
philosophy of punishment,1
philosophy of risk,1
phishing,1
phishing attacks,1
phs,1
physical distance,1
physician-assisted suicide,1
physician-assisted suicide (pas),1
physician-patient-relationship,1
physician independence,1
physics labs,1
pi transfer,1
pioneer in immunology,1
placebo-control,1
placebo-use,1
placebo control,1
placebo controlled trial (pct),1
plagiarism in scientific publishing,1
plan life,1
planned obsolescence,1
plant biotechnology,1
plant breeding,1
plant manager,1
plant science,1
playing god argument,1
pli cacheté,1
plural subject,1
pluralistic societies,1
poetry,1
poison gas,1
poland,1
polanyi,1
policy parallax,1
policy process,1
policy relevant science,1
polio,1
poliovirus research,1
polish law,1
political conception of justice,1
political consciousness,1
politicization,1
politics,1
politics of architecture,1
pollution,1
poor,1
popular culture,1
population,1
population modeling,1
positive computing,1
positive discrimination,1
positive effect,1
positive encouragement,1
positive organizational scholarship,1
positive psychology,1
positive responsibility,1
post-academic,1
post-academic science,1
post-doctoral ethics education,1
post-marketing surveillance,1
post-mortem studies,1
post-phenomenology,1
post-socialist science,1
post-test,1
postgraduate research,1
posthumanism,1
postmodernism,1
postphenomenology,1
postsecondary education,1
power,1
power lobbies,1
power relations,1
pppr,1
practical and professional ethics,1
practical problem,1
practical rationality,1
practices,1
practising ethics,1
practitioner,1
pragmatic account,1
praiseworthiness,1
pre-engagement,1
pre-implantation genetic diagnosis,1
pre-implantation genetic diagnosis (pgd),1
pre-medical students,1
pre-test,1
precautionary scenario,1
preclinical research,1
predatory organizers,1
predatory publishers,1
prediction,1
predictive brain devices,1
predictive device,1
predispositions,1
preimplantation diagnosis,1
prejudice,1
prenatal diagnosis,1
prescribing,1
press complaints commission,1
press conference,1
pressure,1
pressures to publish,1
presumed consent,1
presumptions,1
preventive measures,1
previous article,1
pride,1
prima facie,1
primary author,1
primary health centre,1
principia ecologica,1
principle,1
principle of discrimination,1
principled moral reasoning,1
principles,1
printing revolution,1
"prion disease (bse, vcjd)",1
prior publication,1
priority,1
priority level,1
prisoner’s dilemma,1
privacy law,1
private enterprise,1
prizes,1
proactive ethics,1
probability,1
problem-based learning (pbl),1
problem orientation,1
problem solving,1
problematic case,1
"problems (mine, yours, ours)",1
procedures in cases of suspected scientific misconduct,1
proceedings of the national academy of sciences,1
process approaches to consciousness,1
process improvement,1
process management,1
proclamative,1
procreative beneficence,1
product liability,1
product of nature,1
product review,1
product safety,1
products,1
products quality,1
professional accountability,1
professional and personal capabilities,1
professional associations,1
professional autonomy of physicians,1
professional code of ethics,1
professional competence,1
professional credibility,1
professional education,1
professional ethic,1
professional ethics code,1
professional ethics education,1
professional institution,1
professional integrity,1
professional integrity in medicine,1
professional integrity of scientists,1
professional knowledge,1
professional network,1
professional practice,1
professional questionnaire,1
professional reputation,1
professional responsibilities,1
professional society,1
professional virtues,1
professionals,1
professors,1
profit,1
profit motive,1
program director,1
program evaluation,1
programming ethics,1
project 211,1
project 985,1
project evaluation,1
project management,1
proof of principle,1
property,1
proposal preparation,1
proposals,1
proposition 71,1
prospective science teacher,1
prosthetic,1
prosthetics,1
protecting privacy,1
protection of patients’ rights,1
protection of sensitive information,1
protocol analysis,1
protocol design,1
protocol on biomedical research,1
prototype,1
provide background information,1
proxy consent,1
pseudoscience,1
pseudoskepticism,1
psychiatric disorders,1
psychiatry,1
psychoanalysis,1
psychology of whistleblowing,1
psychopathology,1
psychosurgery,1
psychotherapy,1
psychotropic drugs,1
public administration,1
public and press council,1
public attitude,1
public consultation,1
public consultations,1
public debate,1
public deliberation,1
public education,1
public engagement and leadership,1
public expectations,1
public health costs,1
public health service (phs),1
public humiliation,1
public information,1
public interest of science,1
public involvement,1
public outreach,1
public perception,1
public policies,1
public reason,1
public support,1
public support/enthusiasm,1
publication best practices,1
publication frenzy,1
publication guidelines,1
publication misconduct,1
publication policies,1
publication pressure,1
publication production,1
publication techniques,1
publication validity and reliability,1
publications board,1
publish-or-perish,1
publish-or perish,1
publishing bias,1
publishing house,1
publishing practice,1
publishing scientific paper,1
publons,1
pubmed,1
pubmed commons,1
pubpeer,1
pugwash,1
purpose,1
qualitative,1
qualitative interviews,1
qualitative review,1
quality assurance (qa),1
quality control (qc),1
quality in higher education,1
quality management,1
quality management system (qms),1
quality of care,1
quality of life,1
quality of research,1
quantitative content analysis,1
quantitative indicators,1
quantum computation,1
quantum mechanics,1
questioning,1
questionnaire survey,1
quotation mark,1
quran,1
r-1234yf,1
r.m. hare,1
race in human beings,1
racial attitudes,1
racial hygiene,1
radiation protection,1
radical environmentalist,1
radio frequency identification (rfid),1
radioactive waste management,1
radioactivity,1
radiologists,1
randomization,1
randomized clinical trial,1
randomized control trials,1
rapid technological change,1
rational choice,1
rational decision procedure,1
raw data,1
rcr education,1
rda,1
re-engineering,1
readiness,1
real conferences,1
reasonable person standard,1
reasonable pluralism,1
reasons,1
recent editorial,1
recklessness,1
recognition,1
recognition as peers,1
recombinant dna technology,1
recommendation,1
recommendations,1
recontextualization in writing from sources,1
recruitment,1
recruitment metrics,1
recs,1
redundant publication,1
redundant publications,1
ree,1
reengineering,1
referee function,1
referees,1
reflective consensus building,1
reflective equilibrium,1
reflective inquiry,1
reflexive modeling,1
reflexive principlism,1
reform,1
refrigerant,1
registered reports,1
regulating science and technology,1
regulators,1
regulatory,1
regulatory concerns,1
regulatory policy,1
regulatory requirements,1
regulatory science,1
reimbursement,1
reinforced concrete frame,1
reinforced concrete frame systems,1
rejection rates,1
relapses,1
relational narrative identity,1
relativism,1
relevance,1
relevant agency,1
relevant information,1
religion and science,1
religious ethics,1
religious perspectives,1
religious tradition,1
relocation,1
renewable,1
renewables ethics,1
repatriation,1
reprocessing,1
reproducibility,1
reproductive,1
reproductive ectogenesis,1
reproductive ethics,1
reproductive medicine,1
reproductive rights,1
reprogramming,1
research accountability,1
research achievement,1
research administration,1
research agenda,1
research agenda for engineering ethics,1
research agenda for ethics in engineering,1
research and development / r&d,1
research and innovation,1
research and publication ethics,1
research article,1
research assessment,1
research assessment exercise,1
research behavior,1
research climate,1
research commercialization,1
research conduct,1
research contract,1
research embryos,1
research environments,1
research ethics boards,1
research ethics committees,1
research ethics guidelines,1
research excellence framework,1
research funders,1
research impact assessment,1
research independence,1
research institution,1
research integrity and misconduct,1
research integrity education,1
research integrity officer,1
research integrity policy,1
research mentoring,1
research methods,1
research on captive wild birds,1
research on engineering ethics,1
research output,1
research policies,1
research programme in ethics and technology,1
research proposal,1
research publication,1
research result,1
research society,1
research standards,1
research subject protection,1
research supervision,1
research supervisor,1
research systems,1
research transparency,1
research universities,1
research with groups,1
researcher beliefs,1
researcher degrees of freedom,1
researchers,1
resilience,1
resolution,1
resource allocation,1
resource depletion,1
respect,1
respect for life,1
respect for nature,1
respect for persons,1
respect for truth,1
respirator,1
response strategies,1
responsibility-by-design,1
responsibility-catering prioritarianism,1
responsibility-loci,1
responsibility and division of labour,1
responsibility and neuroscience,1
responsibility attribution,1
responsibility conditions,1
responsibility for future,1
responsibility for the environment,1
responsibility in medical robotics,1
responsibility in science,1
responsibility of engineers,1
responsibility of science,1
responsible-conduct of research (rcr),1
responsible action,1
responsible engineer,1
responsible engineering,1
responsible experimentation,1
responsible innovation of self-driving cars,1
responsible leadership,1
responsible management,1
responsible research,1
responsible social uses approach,1
responsible subject,1
rest’s four component model,1
results-blind reviews,1
retracted publications,1
retribution,1
retribution-gaps,1
retribution gaps,1
reverse auction online bidding,1
reversibility,1
review management,1
review of particle physics,1
review paper,1
review process,1
review reports,1
review strategy,1
reviewing process,1
revision,1
revoke chartered status,1
rfid tags,1
rhetorie,1
ri,1
right not to know,1
right to freedom of expression,1
right to research,1
right to water and sanitation,1
rights to use scientific data,1
rights view,1
risk-benefit assessment,1
risk-society,1
risk–benefit assessment,1
risk acceptability,1
risk communication,1
risk of harm,1
risk perception,1
risk prediction,1
risk regulations,1
risks and benefits,1
risky world,1
ritalin,1
rivalrousness of material objects,1
robo-ethics,1
robot assisted therapy,1
robot caregivers,1
robot companions,1
role morality,1
role of philosopher,1
role of science,1
routine practice,1
routinisation,1
royal academy,1
rri teaching,1
rule consequentialism,1
rural road,1
sabbath renewal,1
sabotage,1
safe-by-design,1
safety barriers,1
safety belt,1
salami publication,1
salmon population,1
same-sex marriages,1
sanctions,1
sanctity of life,1
sanitation,1
sarbanes–oxley,1
scale,1
scarcity,1
scenario-based education,1
scenario building,1
scenario foresight analysis,1
scenarios,1
schizophrenia,1
scholarly activity,1
scholarly publishing,1
"schools, medical",1
science-fiction,1
science–policy relationship,1
science–society relations,1
science–technology–society (sts),1
science advice,1
science and art,1
science and democracy,1
science and engineering,1
science and engineering education,1
science and engineering ethics,1
science and responsibility,1
science and technologies,1
science and technology,1
science and technology information,1
science and technology policy,1
science and technology studies (s&ts),1
science cartels,1
science court,1
science culture,1
science curricula,1
science ethics course,1
science ethics education,1
science fiction novels,1
science librarians,1
science narratives,1
science news,1
science policy interface,1
science practice,1
science regulation,1
science reporting,1
science technology and innovation,1
"science, technology and society education",1
"science, technology, and society education",1
scientific,1
scientific-authoring,1
scientific and professional societies,1
scientific and technical data and information,1
scientific attitude,1
scientific certainty,1
scientific collaboration,1
scientific conduct,1
scientific creativity,1
scientific cultures,1
scientific data,1
scientific debate,1
scientific discipline,1
scientific disciplines,1
scientific dishonesty,1
"scientific ethics, honesty",1
scientific ethos,1
scientific forensics,1
scientific freedom and responsibility,1
scientific infrastructure,1
scientific innovation and discovery,1
scientific inquiry,1
scientific judgment,1
scientific misbehavior,1
scientific objectivity,1
scientific openness,1
scientific opinion,1
scientific participation,1
scientific pedagogy,1
scientific professions,1
scientific publication policies,1
scientific publications,1
scientific quality,1
scientific reasoning,1
scientific record keeping,1
scientific replication,1
scientific resistance,1
scientific reward system,1
scientific secrecy,1
scientific self,1
scientific social responsibility,1
scientific standards for reporting of data,1
scientific training,1
scientific uncertainties,1
scientific uncertainty,1
scientific vs. ethical aspects,1
scientific/research integrity,1
scientific/research misconduct,1
scientism,1
scientist identity,1
scientist misconduct,1
scientist perceptions,1
scientists’ roles,1
scope of professional resonsibility,1
scopus database,1
scott s. reuben,1
search engines,1
secondary analysis,1
secular ethics,1
secured online exam engine,1
securitization,1
security-by-experiment,1
security policy,1
security technology,1
selection,1
selective inertia,1
self-directed learning,1
self-driving vehicle,1
self-efficacy,1
self-interest,1
self-knowledge,1
self-organisation,1
self-quantification,1
self-reflection,1
self-reflective pedagogies,1
self citation,1
seminar,1
sensitive areas,1
sensitivity,1
sentience,1
serotonin,1
service,1
service learning,1
sewage treatment,1
sex,1
sex assignment surgery,1
sexual harassment,1
sexuality,1
shale gas,1
shame,1
shaping knowledge,1
share responsibility,1
sharing materials,1
shelters,1
short term preference,1
signal and misuse,1
significance-chasing bias,1
similar expression,1
similar paper,1
simple number,1
situated cognition,1
situated learning,1
situational pressures,1
situationism,1
skepticism about value education,1
sleipner a platform,1
slippery slope,1
slippery slope argument,1
small island developing states,1
smart-glasses,1
smart metering,1
smart stadia,1
smartphones,1
smear,1
smvs,1
sniffer dogs,1
sniffer technologies,1
snorre a,1
social-intuitionist model,1
social-role responsibility,1
social acceptance,1
social and ethical aspects,1
social attribution,1
social awareness,1
social behavior,1
social cage,1
social concerns in technology development,1
social constructivism,1
social context of engineering,1
social discount rate,1
social disutility,1
social divide,1
social engagement,1
social exclusion,1
social experimentation,1
social experiments,1
social freezing,1
social good,1
social identity,1
social impact,1
social implications of nanotechnology,1
social inclusion,1
social institution,1
social models,1
social movements,1
social network analysis,1
social network sites (sns),1
social networking,1
social networking sites,1
social networks,1
social neuroscience,1
social norms,1
social obligation,1
social performance,1
social pharmacy,1
social pressure,1
social regimen,1
social research,1
social risk perception,1
social robots,1
social shaping of technology,1
social skills,1
social value of research,1
social virtue,1
socialization,1
socially responsible innovation,1
societal challenges,1
societal debate,1
societal history,1
societal impact,1
societal implications,1
societal outcomes,1
societal relevance,1
societal shaping of technology,1
societally desirable research,1
socio-organisational factors,1
socio-technical experiments,1
socio-technical integration,1
socio-technical networks,1
socio ethical education,1
sociology of science,1
sociology of scientific knowledge (ssk),1
socioresponsive engineering,1
sociotechnical,1
sociotechnical imaginaries,1
sociotechnical system,1
socratic dialogue,1
sodis,1
software copyright,1
software defect,1
software engineering ethics,1
software error,1
software informed consent,1
somatic learning,1
soul,1
source documents,1
south africa,1
south asia,1
south eastern europe,1
south india,1
sovereign act,1
space ethics,1
space refuge,1
space shuttle,1
spain,1
spam emails,1
spatial installation,1
speak at a conference,1
special group,1
species survival,1
species taxonomy,1
specific person,1
speech,1
speech-act theory,1
sponsor,1
sponsored research,1
spontaneity,1
spoofing,1
sport,1
sports engineering,1
springer nature,1
stable patients,1
stakeholder,1
stakeholder bias,1
stakeholder engagement,1
stakeholder involvement,1
stakeholder participation,1
stakeholder’s opinion,1
standard definition,1
standard developing organisations,1
standard guideline,1
standard method,1
standardisation,1
standards of professional behavior,1
standards of proof,1
stanford university,1
stap cells,1
state insurance commissions,1
statistical concept,1
statistical design,1
statistical ethics,1
statistical hypothesis testing,1
status quo,1
stealth,1
steelpoort river,1
steering committee,1
stem,1
stem-cell research,1
stem cell technology,1
"stern review, climate economics",1
stewardship of the environment,1
stigma,1
stm publishers,1
stone masonry,1
storage of scientific data,1
story telling,1
storytelling,1
strategies,1
stratospheric ozone,1
structural design,1
structural engineering,1
structural ethics,1
structural interventions,1
structured review analysis,1
structures,1
sts education,1
student,1
student-faculty,1
student comments,1
student culture,1
student engagement in learning design,1
student engagement through ‘action-oriented’ programmes,1
student learning,1
student opinion,1
student opinions,1
student perceptions,1
student project,1
student research,1
"students, medical",1
students’ attitudes,1
students’ recruitment agency,1
study design,1
study pressures,1
study subject input,1
subarachnoid hemorrhage,1
subject benchmark statements,1
subjectivity,1
submission software,1
subpoenas,1
subsidy policy,1
substantially equivalent,1
substantive due process,1
substantive regulation,1
substitution,1
successor failure,1
sui generis protection,1
suicide bomber,1
suitable scope,1
sunnah,1
supervisors,1
supervisors’ pro-environmental values,1
supply chain management,1
support for research,1
supporting colleagues,1
supporting technological development,1
surgical clinical trials,1
surgical oncology,1
surplus embryos,1
survey analysis,1
survey instrument,1
survey methodology,1
survey research,1
surveys,1
survival,1
survival ethics,1
survival ethics model,1
survival of species,1
survival skills,1
susceptibility,1
sustainability ethics,1
sustainable design,1
sustainable development goals,1
sustainable energy,1
sustainable global environment,1
sustainable resource management,1
swedish patent law,1
swedish research council,1
switzerland,1
synthetic genome,1
system dynamics,1
system value,1
systematic approach,1
systematic literature review,1
systemic flaws,1
systems agency,1
systems thinking,1
taboo,1
tacit knowledge,1
tanks,1
taxonomy,1
taylor and francis,1
teach ethic,1
teaching case study,1
teaching ethics to engineers,1
teaching experiences,1
teaching large classes,1
teaching neuroethics,1
teaching neuroscience,1
teaching teachers,1
teaching trustworthy research,1
team-teaching,1
team science,1
team science ethics,1
team science evaluation,1
team science management,1
technical,1
technical analysis,1
technical communication,1
technical defect,1
technical determinism,1
technical education,1
technical expert,1
technical rationality,1
technical standards,1
technical universities,1
techno-moral change,1
techno–economic assessment,1
technocracy,1
technological advance,1
technological artifacts,1
technological determinism,1
technological development,1
technological enthusiasm,1
technological fix,1
technological imperative,1
technological innovations,1
technological progress,1
technological risk,1
technological society,1
technology acceptance,1
technology and society,1
technology and society (sts),1
technology application,1
technology appraisal,1
technology change,1
technology games,1
technology governance,1
technology of democracy,1
technology policy,1
technology research,1
technology transfer policy,1
technoscience,1
technoscientific community,1
teenagers,1
teledildonics,1
telehealthcare,1
telemedicine,1
temporal indiscriminateness,1
temporality,1
temporary insanity,1
temptation,1
tempting technique,1
tension,1
tenure,1
terminating harmful research,1
terrell,1
territorial rights,1
testing,1
text matching,1
text mining,1
text recycling,1
textual appropriation,1
textual borrowing,1
textual recycling,1
tga,1
the capability to play,1
the concept of ‘profession’,1
the czech republic,1
the ethics of technology,1
the foreign corrupt practices act,1
the golem,1
the manhattan project,1
the new ten commandments,1
the scientific method,1
the trolley problem,1
theoretical commitments of approaches to ethics and technology,1
theoretical ethics,1
theories of property,1
theory–practice gap,1
theory of mind,1
therapy,1
thesis advisor,1
think-aloud,1
thomson reuters,1
threats to independence,1
three princes of serendip,1
threshold model,1
threshold of toxicological concern,1
time,1
time discounting,1
tipping,1
tissues engineering,1
tolerable risk,1
tool,1
toolbox dialogue initiative,1
topic choice in science,1
tort liability,1
torture,1
total drug effect,1
toxicity,1
toxins,1
tracking,1
trading zones,1
tradition,1
traditional,1
traditional ownership,1
traffic management,1
traffic research,1
tragedy,1
tragedy of the commons,1
train-the-trainer,1
trainees,1
training reviewers,1
transaction,1
transgenic animals,1
transgenic human,1
transgenic plants,1
transgenic plants and animals,1
transgenics,1
transition countries,1
translational imperative,1
translational medicine,1
translational research,1
translational science,1
transmilenio,1
transmission,1
transparent approach,1
transportation democracy,1
transportation infrastructure,1
transportation justice,1
traumatic brain injury,1
treaties,1
treatment,1
treatment of menopausal disorders,1
tri-parent baby technology,1
trials,1
tribes,1
triple blind peer review,1
trips agreement,1
trolley problem,1
trolley problems,1
trustees,1
trustworthy,1
trustworthy science,1
truthtelling,1
tuberculosis,1
tumorigenicity,1
turkey,1
turnkey project,1
tutor,1
tuxedo fallacy,1
tv violence,1
twitter,1
two-sided market,1
two culture controversy,1
two cultures in science,1
u.s.,1
u.s. government,1
u.s. policy,1
uṣūl al fiqh,1
uk,1
uncertainty principle,1
undergraduate,1
undergraduate education,1
undergraduate engineering,1
undergraduate engineering education,1
undergraduate staff,1
underlying factor of corruption,1
underrecognition,1
underrepresented group,1
understanding,1
unethical business,1
unethical conduct,1
unethical conflict,1
unethical performance,1
unethical practice,1
unfccc,1
uniform requirement,1
unintended consequences,1
united states,1
universal ethical values,1
universal moral values,1
universities,1
universities of technology,1
university–industry collaborations,1
university administrators,1
university education,1
university of technology,1
university ranking,1
university research,1
unmanned aerial vehicles,1
unmanned systems,1
unprofessional supervisor,1
upper limb difference,1
upstream engagement in industry,1
upstream public engagement in science,1
urban mobility,1
urban underground,1
use of genetic information,1
user-centered,1
user experience,1
users,1
users’ empowerment,1
usual process,1
utah valley university,1
uterine transplant,1
utilitarian,1
utility tunnel,1
utopia,1
v-chip,1
vaccination,1
vaccines,1
vaccinogenomics,1
vaccinology,1
valid criterion,1
valuation,1
value-based ethics,1
value-conscious design,1
value-free ideal,1
value-free science,1
value-judgments,1
value-ladenness of science,1
value-neutrality,1
value-sensitive design (vsd),1
value free science,1
value judgment,1
values-by-design,1
values and science,1
values in research,1
values in scientific work,1
vegetation cover,1
vehicle dynamics,1
veillance,1
ventricular assist device,1
verbeek,1
verichip,1
vice,1
video,1
video analysis,1
violence,1
vipul bhrigu,1
virtual world,1
virtualization,1
virtue ethic,1
virtue theory,1
virtuous engineers,1
viruses,1
visual prosthesis,1
visualization,1
viva voce,1
volitional evolution,1
voluntary,1
volunteer recruitment,1
volunteerism,1
voronoi region,1
walkshop,1
wame,1
waste in biomedical research,1
waste management,1
wasted time and effort,1
water and sanitation,1
water and sanitation planning,1
water management,1
water quality,1
water resources,1
water use,1
wcag,1
weak penalties,1
weapons of mass destruction (wmd),1
wearable devices,1
wearables,1
web,1
web-based academia,1
web-based computer tools,1
web-based curriculum,1
web-based education,1
web-based teaching,1
web application,1
web browsers,1
web standards,1
website design,1
welfare technology,1
well-being,1
well-ordered science,1
westphalian order,1
whistle-blower,1
wide consequence,1
wide reflective equilibrium,1
wild animal,1
wild bird,1
wildlife passes,1
wildlife science,1
wiley-blackwell,1
withdrawal rate,1
withholding scientific findings,1
wittgenstein,1
women,1
women in health,1
"women in science and engineering, leadership",1
words,1
work design,1
working memory capacity,1
working together,1
workplace,1
world affair,1
world map,1
world war ii,1
worldview,1
worth,1
writing for publication,1
wrongdoing,1
wrongful discharge,1
www rule,1
xenotransplantation,1
xenotransplantation and public participation,1
xenotransplantation and public policy,1
yellow book,1
yoga,1
young people,1
young researcher,1
young scholar,1
young scientists,1
zero-emission vehicles,1
